time,rent_persquare,rent_persuite,price,ratio
2022-05,101.66,9150,63102,1:620
2022-04,100.73,9355,63025,1:625
2022-03,101.31,9348,62868,1:620
2022-02,99.46,9194,63064,1:634
2022-01,96.16,9056,62158,1:646
2021-12,93.43,8460,62067,1:664
2021-11,89.59,8432,62157,1:693
2021-10,95.79,9106,62323,1:650
2021-09,101.49,9963,62425,1:615
2021-08,99.27,9911,62870,1:633
2021-07,98.88,9994,62866,1:635
2021-06,92.54,8494,62819,1:678
2021-05,97.63,9352,61890,1:633
2021-04,92.36,8381,60748,1:657
2021-03,92.56,8557,60772,1:656
2021-01,88,8068,60127,1:683
2020-12,89.55,8316,59263,1:661
2020-11,88.35,8122,60422,1:683
2020-10,89.62,8178,60313,1:672
2020-09,88.55,8123,60547,1:683
2020-08,91.38,8491,61086,1:668
2020-07,92.22,8379,61164,1:663
2020-06,92.39,8357,61323,1:663
2020-05,92.09,8215,61094,1:663
2020-04,92.19,8188,60203,1:653
2020-03,97.14,8766,60415,1:621
2020-02,96.67,8737,60684,1:627
2020-01,93.53,8393,60846,1:650
2019-12,90.51,8119,60792,1:671
2019-11,88.84,7737,60884,1:685
2019-10,90,7799,60965,1:677
2019-09,91.9,8143,61179,1:665
2019-08,93.25,8509,61256,1:656
2019-07,93.63,8423,61779,1:659
2019-06,94.48,8710,61956,1:655
2019-05,94.62,8702,62492,1:660
2019-04,94.74,8571,62709,1:661
2019-03,95.76,8793,62464,1:652
2019-02,94.9,8494,62105,1:654
2019-01,93.49,8597,61964,1:662
2018-12,93.68,8503,60910,1:650
2018-11,93.17,8456,60891,1:653
2018-10,93.96,8470,60921,1:648
2018-09,92.98,8341,59164,1:636
2018-08,90.73,8030,58113,1:640
2018-07,85.98,7568,57093,1:664
2018-06,96.26,8977,56804,1:590
2018-05,93.19,8551,56119,1:602
2018-04,77.03,5960,57939,1:752
2018-03,95.74,10067,58296,1:608
2018-02,82.95,7343,58319,1:703
2018-01,74.73,6384,58334,1:780
